n,pattern,time,sorted,processes
1000000,random,0.076698,yes,1
1000000,quasi,0.033996,yes,1
2000000,random,0.159931,yes,1
2000000,quasi,0.073083,yes,1
3000000,random,0.241930,yes,1
3000000,quasi,0.112755,yes,1
4000000,random,0.328197,yes,1
4000000,quasi,0.156397,yes,1
5000000,random,0.414037,yes,1
5000000,quasi,0.202135,yes,1
6000000,random,0.501789,yes,1
6000000,quasi,0.242224,yes,1
7000000,random,0.590592,yes,1
7000000,quasi,0.283836,yes,1
8000000,random,0.677170,yes,1
8000000,quasi,0.335016,yes,1
9000000,random,0.758580,yes,1
9000000,quasi,0.367959,yes,1
10000000,random,0.844913,yes,1
10000000,quasi,0.412481,yes,1
20000000,random,1.741619,yes,1
20000000,quasi,0.859391,yes,1
1000000,random,0.040181,yes,2
1000000,quasi,0.021399,yes,2
2000000,random,0.083360,yes,2
2000000,quasi,0.039289,yes,2
3000000,random,0.126012,yes,2
3000000,quasi,0.061959,yes,2
4000000,random,0.180127,yes,2
4000000,quasi,0.085881,yes,2
5000000,random,0.219534,yes,2
5000000,quasi,0.108227,yes,2
6000000,random,0.259939,yes,2
6000000,quasi,0.129399,yes,2
7000000,random,0.305419,yes,2
7000000,quasi,0.153762,yes,2
8000000,random,0.350275,yes,2
8000000,quasi,0.177719,yes,2
9000000,random,0.399007,yes,2
9000000,quasi,0.202935,yes,2
10000000,random,0.443707,yes,2
10000000,quasi,0.225333,yes,2
20000000,random,0.908942,yes,2
20000000,quasi,0.470637,yes,2
1000000,random,0.022808,yes,4
1000000,quasi,0.010212,yes,4
2000000,random,0.044796,yes,4
2000000,quasi,0.022060,yes,4
3000000,random,0.071384,yes,4
3000000,quasi,0.034785,yes,4
4000000,random,0.096715,yes,4
4000000,quasi,0.049326,yes,4
5000000,random,0.118774,yes,4
5000000,quasi,0.060442,yes,4
6000000,random,0.141327,yes,4
6000000,quasi,0.074815,yes,4
7000000,random,0.166804,yes,4
7000000,quasi,0.089809,yes,4
8000000,random,0.193635,yes,4
8000000,quasi,0.103744,yes,4
9000000,random,0.216384,yes,4
9000000,quasi,0.115088,yes,4
10000000,random,0.241236,yes,4
10000000,quasi,0.129419,yes,4
20000000,random,0.500294,yes,4
20000000,quasi,0.275185,yes,4
1000000,random,0.013195,yes,8
1000000,quasi,0.005724,yes,8
2000000,random,0.025100,yes,8
2000000,quasi,0.016285,yes,8
3000000,random,0.039071,yes,8
3000000,quasi,0.021657,yes,8
4000000,random,0.057033,yes,8
4000000,quasi,0.032907,yes,8
5000000,random,0.075941,yes,8
5000000,quasi,0.043635,yes,8
6000000,random,0.088663,yes,8
6000000,quasi,0.054168,yes,8
7000000,random,0.103623,yes,8
7000000,quasi,0.063437,yes,8
8000000,random,0.120718,yes,8
8000000,quasi,0.073163,yes,8
9000000,random,0.140767,yes,8
9000000,quasi,0.082496,yes,8
10000000,random,0.154389,yes,8
10000000,quasi,0.092203,yes,8
20000000,random,0.324599,yes,8
20000000,quasi,0.208416,yes,8
