n,pattern,time,sorted,processes
1000000,random,0.092151,yes,1
1000000,quasi,0.041082,yes,1
2000000,random,0.191681,yes,1
2000000,quasi,0.086263,yes,1
3000000,random,0.285647,yes,1
3000000,quasi,0.134346,yes,1
4000000,random,0.387749,yes,1
4000000,quasi,0.184390,yes,1
5000000,random,0.483405,yes,1
5000000,quasi,0.230029,yes,1
6000000,random,0.582476,yes,1
6000000,quasi,0.273448,yes,1
7000000,random,0.686156,yes,1
7000000,quasi,0.326078,yes,1
8000000,random,0.790267,yes,1
8000000,quasi,0.379797,yes,1
9000000,random,0.891379,yes,1
9000000,quasi,0.428418,yes,1
10000000,random,0.982121,yes,1
10000000,quasi,0.489213,yes,1
20000000,random,2.017047,yes,1
20000000,quasi,0.985523,yes,1
1000000,random,0.044191,yes,2
1000000,quasi,0.020249,yes,2
2000000,random,0.097609,yes,2
2000000,quasi,0.041838,yes,2
3000000,random,0.137505,yes,2
3000000,quasi,0.065233,yes,2
4000000,random,0.187842,yes,2
4000000,quasi,0.088654,yes,2
5000000,random,0.236942,yes,2
5000000,quasi,0.111761,yes,2
6000000,random,0.284183,yes,2
6000000,quasi,0.138516,yes,2
7000000,random,0.338084,yes,2
7000000,quasi,0.168570,yes,2
8000000,random,0.385540,yes,2
8000000,quasi,0.187076,yes,2
9000000,random,0.443464,yes,2
9000000,quasi,0.212155,yes,2
10000000,random,0.484711,yes,2
10000000,quasi,0.239910,yes,2
20000000,random,0.982284,yes,2
20000000,quasi,0.483540,yes,2
1000000,random,0.021670,yes,4
1000000,quasi,0.009885,yes,4
2000000,random,0.044969,yes,4
2000000,quasi,0.021247,yes,4
3000000,random,0.068411,yes,4
3000000,quasi,0.031752,yes,4
4000000,random,0.092183,yes,4
4000000,quasi,0.044120,yes,4
5000000,random,0.121122,yes,4
5000000,quasi,0.058145,yes,4
6000000,random,0.146394,yes,4
6000000,quasi,0.067666,yes,4
7000000,random,0.169854,yes,4
7000000,quasi,0.079026,yes,4
8000000,random,0.200793,yes,4
8000000,quasi,0.097002,yes,4
9000000,random,0.219334,yes,4
9000000,quasi,0.107777,yes,4
10000000,random,0.253931,yes,4
10000000,quasi,0.122713,yes,4
20000000,random,0.492571,yes,4
20000000,quasi,0.244681,yes,4
1000000,random,0.012293,yes,8
1000000,quasi,0.005211,yes,8
2000000,random,0.024469,yes,8
2000000,quasi,0.011271,yes,8
3000000,random,0.038473,yes,8
3000000,quasi,0.018132,yes,8
4000000,random,0.049065,yes,8
4000000,quasi,0.024812,yes,8
5000000,random,0.070124,yes,8
5000000,quasi,0.030888,yes,8
6000000,random,0.076714,yes,8
6000000,quasi,0.038228,yes,8
7000000,random,0.088364,yes,8
7000000,quasi,0.044703,yes,8
8000000,random,0.101802,yes,8
8000000,quasi,0.051887,yes,8
9000000,random,0.116088,yes,8
9000000,quasi,0.058334,yes,8
10000000,random,0.129328,yes,8
10000000,quasi,0.065195,yes,8
20000000,random,0.266475,yes,8
20000000,quasi,0.139476,yes,8
