n,pattern,time,sorted,processes
1000000,random,0.075419,yes,1
1000000,quasi,0.032776,yes,1
2000000,random,0.154492,yes,1
2000000,quasi,0.071555,yes,1
3000000,random,0.230537,yes,1
3000000,quasi,0.110461,yes,1
4000000,random,0.316569,yes,1
4000000,quasi,0.151379,yes,1
5000000,random,0.396653,yes,1
5000000,quasi,0.192605,yes,1
6000000,random,0.480470,yes,1
6000000,quasi,0.233969,yes,1
7000000,random,0.576596,yes,1
7000000,quasi,0.281043,yes,1
8000000,random,0.664925,yes,1
8000000,quasi,0.329837,yes,1
9000000,random,0.755051,yes,1
9000000,quasi,0.369855,yes,1
10000000,random,0.824568,yes,1
10000000,quasi,0.405061,yes,1
20000000,random,1.683954,yes,1
20000000,quasi,0.842650,yes,1
1000000,random,0.039746,yes,2
1000000,quasi,0.018586,yes,2
2000000,random,0.081164,yes,2
2000000,quasi,0.038051,yes,2
3000000,random,0.122513,yes,2
3000000,quasi,0.060103,yes,2
4000000,random,0.166957,yes,2
4000000,quasi,0.080372,yes,2
5000000,random,0.211327,yes,2
5000000,quasi,0.102681,yes,2
6000000,random,0.254146,yes,2
6000000,quasi,0.125476,yes,2
7000000,random,0.300835,yes,2
7000000,quasi,0.150419,yes,2
8000000,random,0.348461,yes,2
8000000,quasi,0.176448,yes,2
9000000,random,0.388544,yes,2
9000000,quasi,0.197547,yes,2
10000000,random,0.434489,yes,2
10000000,quasi,0.217950,yes,2
20000000,random,0.882948,yes,2
20000000,quasi,0.464915,yes,2
1000000,random,0.024027,yes,4
1000000,quasi,0.011947,yes,4
2000000,random,0.046515,yes,4
2000000,quasi,0.022775,yes,4
3000000,random,0.066885,yes,4
3000000,quasi,0.033843,yes,4
4000000,random,0.097771,yes,4
4000000,quasi,0.048481,yes,4
5000000,random,0.114598,yes,4
5000000,quasi,0.060604,yes,4
6000000,random,0.137487,yes,4
6000000,quasi,0.072462,yes,4
7000000,random,0.161144,yes,4
7000000,quasi,0.084811,yes,4
8000000,random,0.184970,yes,4
8000000,quasi,0.096767,yes,4
9000000,random,0.211656,yes,4
9000000,quasi,0.113505,yes,4
10000000,random,0.234463,yes,4
10000000,quasi,0.123070,yes,4
20000000,random,0.480843,yes,4
20000000,quasi,0.262820,yes,4
1000000,random,0.014841,yes,8
1000000,quasi,0.007608,yes,8
2000000,random,0.028963,yes,8
2000000,quasi,0.015420,yes,8
3000000,random,0.045238,yes,8
3000000,quasi,0.024055,yes,8
4000000,random,0.056316,yes,8
4000000,quasi,0.032315,yes,8
5000000,random,0.071050,yes,8
5000000,quasi,0.040218,yes,8
6000000,random,0.083816,yes,8
6000000,quasi,0.048086,yes,8
7000000,random,0.105635,yes,8
7000000,quasi,0.057043,yes,8
8000000,random,0.114856,yes,8
8000000,quasi,0.066521,yes,8
9000000,random,0.128811,yes,8
9000000,quasi,0.075247,yes,8
10000000,random,0.142225,yes,8
10000000,quasi,0.085721,yes,8
20000000,random,0.284441,yes,8
20000000,quasi,0.173307,yes,8
