n,pattern,threads,time,sorted
1000000,random,1,0.045135,yes
1000000,quasi,1,0.039128,yes
2000000,random,1,0.097441,yes
2000000,quasi,1,0.092754,yes
3000000,random,1,0.149522,yes
3000000,quasi,1,0.122522,yes
4000000,random,1,0.208339,yes
4000000,quasi,1,0.186934,yes
5000000,random,1,0.277805,yes
5000000,quasi,1,0.211672,yes
6000000,random,1,0.347659,yes
6000000,quasi,1,0.311546,yes
7000000,random,1,0.423272,yes
7000000,quasi,1,0.346617,yes
8000000,random,1,0.508972,yes
8000000,quasi,1,0.359982,yes
9000000,random,1,0.585560,yes
9000000,quasi,1,0.430336,yes
10000000,random,1,0.677343,yes
10000000,quasi,1,0.487961,yes
20000000,random,1,1.766315,yes
20000000,quasi,1,1.378806,yes
1000000,random,2,0.023110,yes
1000000,quasi,2,0.031089,yes
2000000,random,2,0.049836,yes
2000000,quasi,2,0.078496,yes
3000000,random,2,0.134397,yes
3000000,quasi,2,0.135324,yes
4000000,random,2,0.107897,yes
4000000,quasi,2,0.170036,yes
5000000,random,2,0.181878,yes
5000000,quasi,2,0.227664,yes
6000000,random,2,0.339684,yes
6000000,quasi,2,0.298562,yes
7000000,random,2,0.374834,yes
7000000,quasi,2,0.363048,yes
8000000,random,2,0.326604,yes
8000000,quasi,2,0.381005,yes
9000000,random,2,0.470573,yes
9000000,quasi,2,0.466867,yes
10000000,random,2,0.406905,yes
10000000,quasi,2,0.567857,yes
20000000,random,2,0.982974,yes
20000000,quasi,2,1.034813,yes
1000000,random,4,0.024327,yes
1000000,quasi,4,0.039645,yes
2000000,random,4,0.039211,yes
2000000,quasi,4,0.076951,yes
3000000,random,4,0.073801,yes
3000000,quasi,4,0.129702,yes
4000000,random,4,0.088317,yes
4000000,quasi,4,0.084039,yes
5000000,random,4,0.123652,yes
5000000,quasi,4,0.256659,yes
6000000,random,4,0.165143,yes
6000000,quasi,4,0.286445,yes
7000000,random,4,0.200691,yes
7000000,quasi,4,0.401559,yes
8000000,random,4,0.224210,yes
8000000,quasi,4,0.399489,yes
9000000,random,4,0.284214,yes
9000000,quasi,4,0.517258,yes
10000000,random,4,0.288720,yes
10000000,quasi,4,0.240317,yes
20000000,random,4,0.860473,yes
20000000,quasi,4,1.152636,yes
1000000,random,8,0.013799,yes
1000000,quasi,8,0.016285,yes
2000000,random,8,0.029966,yes
2000000,quasi,8,0.045983,yes
3000000,random,8,0.055676,yes
3000000,quasi,8,0.151999,yes
4000000,random,8,0.056280,yes
4000000,quasi,8,0.208002,yes
5000000,random,8,0.066896,yes
5000000,quasi,8,0.145103,yes
6000000,random,8,0.126667,yes
6000000,quasi,8,0.118481,yes
7000000,random,8,0.119025,yes
7000000,quasi,8,0.603619,yes
8000000,random,8,0.115146,yes
8000000,quasi,8,0.179932,yes
9000000,random,8,0.141092,yes
9000000,quasi,8,0.534186,yes
10000000,random,8,0.186602,yes
10000000,quasi,8,0.520269,yes
20000000,random,8,0.483132,yes
20000000,quasi,8,0.995495,yes
