n,pattern,time,sorted
1000000,random,0.051302,yes
1000000,quasi,0.029069,yes
2000000,random,0.112271,yes
2000000,quasi,0.064568,yes
3000000,random,0.174605,yes
3000000,quasi,0.092831,yes
4000000,random,0.243375,yes
4000000,quasi,0.130939,yes
5000000,random,0.317721,yes
5000000,quasi,0.167159,yes
6000000,random,0.398491,yes
6000000,quasi,0.198678,yes
7000000,random,0.476103,yes
7000000,quasi,0.231598,yes
8000000,random,0.567356,yes
8000000,quasi,0.268632,yes
9000000,random,0.668349,yes
9000000,quasi,0.319828,yes
10000000,random,0.766734,yes
10000000,quasi,0.344769,yes
20000000,random,1.912557,yes
20000000,quasi,0.706477,yes
